kommune_navn,fylke,målform,kommune_nr,from_url,pdf_link
Bergen,Vestland,nøytral,4601,https://www.bergen.kommune.no/innbyggerhjelpen/vann-vei-og-trafikk/vann-og-avlop/feil-og-avvik/huseiers-ansvar-for-egne-ror,https://va-norm.no/content/uploads/2020/04/Sanit%C3%A6rreglement-rev-2020.pdf
Brønnøy,Nordland,nøytral,1813,https://www.bronnoy.kommune.no/tjenester/skatt-gebyrer-og-avgifter/eiendomsskatt/,https://www.bronnoy.kommune.no/_f/p1/id507a6eb-fc03-44b0-8e2c-afc9e55ce348/rammer-og-retningslinjer-for-taksering-2021-2030.pdf
Brønnøy,Nordland,nøytral,1813,https://www.bronnoy.kommune.no/tjenester/skatt-gebyrer-og-avgifter/eiendomsskatt/,https://www.bronnoy.kommune.no/_f/p1/ia3175715-7c56-440f-b84f-741aa31b6898/skatteliste-2025.pdf
Brønnøy,Nordland,nøytral,1813,https://www.bronnoy.kommune.no/tjenester/skatt-gebyrer-og-avgifter/eiendomsskatt/,https://www.bronnoy.kommune.no/_f/p1/i5e920ed1-e231-40a1-9c8d-59d14d083d26/fritaksliste-5-2025.pdf
Brønnøy,Nordland,nøytral,1813,https://www.bronnoy.kommune.no/tjenester/skatt-gebyrer-og-avgifter/eiendomsskatt/,https://www.bronnoy.kommune.no/_f/p1/ie7697430-5066-4b7e-9b3d-1f465914d00f/fritaksliste-7-2025.pdf
Brønnøy,Nordland,nøytral,1813,https://www.bronnoy.kommune.no/tjenester/skatt-gebyrer-og-avgifter/eiendomsskatt/,https://www.bronnoy.kommune.no/_f/p1/i8f829b41-4e3e-406d-85fb-8d12211dba1b/soknad-om-fritak-fra-eiendomsskatt.pdf
Brønnøy,Nordland,nøytral,1813,https://www.bronnoy.kommune.no/tjenester/skatt-gebyrer-og-avgifter/eiendomsskatt/,https://www.bronnoy.kommune.no/_f/p1/i2a5afb6f-db38-4256-aaf7-252890384191/soknad-om-nedsettelse-eller-ettergivelse-av-eiendomsskatt.pdf
Alstahaug,Nordland,nøytral,1820,https://www.alstahaug.kommune.no/spillemidler-2014-soek-om-midler-til-ordinaere-anlegg-og-naermiljoeanlegg.5332659-175568.html,https://www.alstahaug.kommune.no/getfile.php/2333742.1880.yrusvdbdas/Kommunedelplan+for+fysisk+aktivitet+og+naturopplevelse+2013-2016.pdf
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/jakt-og-fiske.533502.no.html,https://statskog.s3.amazonaws.com/pdf_word/fiske/Fiskeregler_Troms.pdf?mtime=20181214132321
Bardu,Troms,nøytral,5520,https://www.bardu.kommune.no/boligfelt-og-ledige-boligtomter.533347.no.html,https://www.bardu.kommune.no/getfile.php/4774759.181.pnkibsjinpkkiu/S%C3%B8knadsskjema+for+kommunale+tomter+2020.pdf
